"","UNIT_CODE","County","Year","Month","Monthly_Med"
"657","ACAD","23009",2017,10,35
"658","ACAD","23009",2017,11,32
"659","ACAD","23009",2017,12,32
"660","ACAD","23009",2018,1,35
"661","ACAD","23009",2018,2,40
"662","ACAD","23009",2018,3,43
"663","ACAD","23009",2018,4,46
"664","ACAD","23009",2018,5,44
"665","ACAD","23009",2018,6,35.5
"666","ACAD","23009",2018,7,38
"667","ACAD","23009",2018,8,39
"668","ACAD","23009",2018,9,30.5
"669","ACAD","23009",2018,10,28
"670","ACAD","23009",2018,11,31
"671","ACAD","23009",2018,12,33
"672","ACAD","23009",2019,1,34
"673","ACAD","23009",2019,2,38.5
"674","ACAD","23009",2019,3,47
"675","ACAD","23009",2019,4,44
"676","ACAD","23009",2019,5,38
"677","ACAD","23009",2019,6,40
"678","ACAD","23009",2019,7,40
"679","ACAD","23009",2019,8,37
"680","ACAD","23009",2019,9,28
"681","ACAD","23009",2019,10,28
"682","ACAD","23009",2019,11,31
"683","ACAD","23009",2019,12,34
"684","ACAD","23009",2020,1,34
"685","ACAD","23009",2020,2,35
"686","ACAD","23009",2020,3,44
"687","ACAD","23009",2020,4,44
"688","ACAD","23009",2020,5,41
"689","ACAD","23009",2020,6,38.5
"690","ACAD","23009",2020,7,34
"691","ACAD","23009",2020,8,37
"692","ACAD","23009",2020,9,30.5
"693","ACAD","23009",2020,10,29
"694","ACAD","23009",2020,11,1
"695","GRSM","37173",1995,4,45
"696","GRSM","37173",1995,5,45
"697","GRSM","37173",1995,6,44
"698","GRSM","37173",1995,7,43
"699","GRSM","37173",1995,8,42
"700","GRSM","37173",1995,9,41
"701","GRSM","37173",1995,10,34
"702","GRSM","37173",1995,11,3
"703","GRSM","37173",1995,12,3
"704","GRSM","37173",1996,1,7
"705","GRSM","37173",1996,2,9
"706","GRSM","37173",1996,3,3
"707","GRSM","37173",1996,4,3
"708","GRSM","37173",1996,5,43
"709","GRSM","37173",1996,6,45.5
"710","GRSM","37173",1996,7,42
"711","GRSM","37173",1996,8,42
"712","GRSM","37173",1996,9,37.5
"713","GRSM","37173",1996,10,39
"714","GRSM","37173",1996,11,23.5
"715","GRSM","37173",1996,12,13
"716","GRSM","37173",1997,1,8
"717","GRSM","37173",1997,2,10
"718","GRSM","37173",1997,3,11
"719","GRSM","37173",1997,4,51
"720","GRSM","37173",1997,5,49.5
"721","GRSM","37173",1997,6,38.5
"722","GRSM","37173",1997,7,46
"723","GRSM","37173",1997,8,41
"724","GRSM","37173",1997,9,43
"725","GRSM","37173",1997,10,33
"726","GRSM","37173",1997,11,14
"727","GRSM","37173",1997,12,12
"728","GRSM","37173",1998,1,7
"729","GRSM","37173",1998,2,7
"730","GRSM","37173",1998,3,7
"731","GRSM","37173",1998,4,47
"732","GRSM","37173",1998,5,54
"733","GRSM","37173",1998,6,44
"734","GRSM","37173",1998,7,50
"735","GRSM","37173",1998,8,64
"736","GRSM","37173",1998,9,52.5
"737","GRSM","37173",1998,10,37
"738","GRSM","37173",1998,11,7
"739","GRSM","37173",1998,12,7
"740","GRSM","37173",1999,1,38
"741","GRSM","37173",1999,2,38
"742","GRSM","37173",1999,3,53
"743","GRSM","37173",1999,4,54
"744","GRSM","37173",1999,5,71
"745","GRSM","37173",1999,6,61
"746","GRSM","37173",1999,7,43
"747","GRSM","37173",1999,8,79
"748","GRSM","37173",1999,9,69.5
"749","GRSM","37173",1999,10,40
"750","GRSM","37173",1999,11,47
"751","GRSM","37173",1999,12,38.5
"752","GRSM","37173",2000,1,52
"753","GRSM","37173",2000,2,48
"754","GRSM","37173",2000,3,47
"755","GRSM","37173",2000,4,45
